                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.85027,                0.86379,                0.65681,                0.95207,                0.99428,                      1,                  0.995,                0.75846,                0.99428,                      1,                  0.995,                0.78735,                 1.0444,                 1.2159,                0.67265,                0.95238,              0.0004952,              0.0004952,              0.0004952
                     78,                0.72972,                0.88477,                0.58447,                0.87994,                0.99439,                      1,                  0.995,                0.75843,                0.99439,                      1,                  0.995,                0.76295,                 1.0372,                 1.2649,                0.68197,                0.94174,              0.0004754,              0.0004754,              0.0004754
                     79,                0.77038,                0.88335,                0.61983,                0.90682,                0.99437,                      1,                  0.995,                0.74376,                0.99437,                      1,                  0.995,                0.76535,                 1.0045,                 1.2718,                0.68817,                0.93004,              0.0004556,              0.0004556,              0.0004556
                     80,                0.78444,                0.90282,                0.61575,                0.89501,                0.99451,                      1,                  0.995,                0.77295,                0.99451,                      1,                  0.995,                0.75742,                0.96636,                 1.2281,                0.66934,                0.92011,              0.0004358,              0.0004358,              0.0004358
                     81,                0.74599,                0.82891,                0.61052,                 0.9023,                0.99463,                      1,                  0.995,                0.77046,                0.99463,                      1,                  0.995,                0.80252,                0.94673,                 1.1768,                0.63782,                0.91408,               0.000416,               0.000416,               0.000416
                     82,                0.84058,                  0.889,                0.64094,                0.92684,                0.99474,                      1,                  0.995,                0.77046,                0.99474,                      1,                  0.995,                0.80684,                0.98328,                 1.1316,                0.63282,                0.91723,              0.0003962,              0.0003962,              0.0003962
                     83,                0.73674,                0.89447,                 0.5948,                0.90185,                0.99471,                      1,                  0.995,                0.75647,                0.99471,                      1,                  0.995,                0.77933,                 1.0049,                 1.1443,                0.63743,                0.92638,              0.0003764,              0.0003764,              0.0003764
                     84,                0.76069,                0.94529,                0.58222,                0.90713,                0.99464,                      1,                  0.995,                0.75121,                0.99464,                      1,                  0.995,                0.77795,                 1.0272,                 1.1932,                0.61526,                0.93522,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72147,                0.91556,                0.55449,                0.89323,                0.99462,                      1,                  0.995,                0.75013,                0.99462,                      1,                  0.995,                0.76398,                 1.0279,                 1.2257,                0.60823,                0.93904,              0.0003368,              0.0003368,              0.0003368
                     86,                0.71211,                0.85909,                0.56521,                0.88274,                0.99473,                      1,                  0.995,                0.75013,                0.99473,                      1,                  0.995,                0.76398,                 1.0091,                 1.2263,                0.60172,                0.93101,               0.000317,               0.000317,               0.000317
                     87,                0.69768,                0.85644,                0.55523,                0.87831,                0.99471,                      1,                  0.995,                 0.7662,                0.99471,                      1,                  0.995,                0.76103,                0.97488,                 1.1953,                0.60112,                0.91691,              0.0002972,              0.0002972,              0.0002972
                     88,                0.69258,                 1.0456,                0.56598,                0.90526,                0.99474,                      1,                  0.995,                 0.7643,                0.99474,                      1,                  0.995,                0.76195,                0.95204,                 1.1789,                0.58843,                0.91101,              0.0002774,              0.0002774,              0.0002774
                     89,                0.74638,                 0.8882,                0.55699,                0.88706,                0.99482,                      1,                  0.995,                0.76841,                0.99482,                      1,                  0.995,                0.77991,                 0.9273,                 1.1605,                  0.581,                0.90645,              0.0002576,              0.0002576,              0.0002576
